cotizante_tipo_id,cotizante_id,afiliado_tipo_id,afiliado_id,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,dpto_afiliacion,mpio_afiliacion,dpto_residencia,mpio_residencia,direccion_residencia,telefono_residencia,telefono_movil,fecha_nacimiento,fecha_afiliacion,fecha_aplicacion_cambio_estado,descripcion_estamento,estado_afiliado_id,subestado_afiliado_id,eps_tipo_afiliado_id,parentesco,fecha_estao_corte,fecha_corte,correo_electronico,edad,medico_familiar,plan_atencion,etnia,discapacidad,tipo_discapacidad,nombre_afiliado,plan,fecha_inicio_cobertura,fecha_fin_cobertura,antiguedad_anios,anio_afiliacion
CC,A9434AA0,CC,A9434AA0,DANVERS,,SNOOPY,PAPALOTE,M,76,001,76,001,TRANS 77 # 13-47,3561851744,3600452128,07/05/1950,02/05/1972,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,snoopy.danversa943@example.com,76,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,DANVERS SNOOPY PAPALOTE,COTIZANTES SSUV,,,54.1,1972
CC,2451E5A4,CC,2451E5A4,SIMPSON,QUILL,MARGE,VANELLOPE,F,76,001,76,001,TRANS 85 # 39-13,31145512939130,3448818984,02/11/1948,15/01/2001,06/10/2008,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,marge.simpson2451@example.com,77,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,SIMPSON QUILL MARGE VANELLOPE,COTIZANTES SSUV,,,25.4,2001
CC,A35FC9C1,CC,A35FC9C1,MOJO,PYM,KIKO,,M,76,001,76,001,CLL 24 # 84-73,36046154021190170756,3814298315,20/03/1941,01/08/1986,06/10/2008,PENSIONADO DOCENTE,AC,A01,C,,,26/06/2026,kiko.mojoa35f@example.com,85,MOANA LISA MCPATO BOMBON,5,MESTIZO,NO,,MOJO PYM KIKO,COTIZANTES SSUV,,,39.9,1986
CC,A6846099,CC,A6846099,WANDA,MURDOCK,GOHAN,SHAGGY,M,76,001,76,364,AV 35 # 32-79,31073228360849378306396,3384526969,01/06/1945,01/06/1972,06/10/2008,PENSIONADO DOCENTE,AC,A01,C,,,26/06/2026,gohan.wandaa684@example.com,81,POPIS MAFALDA GRIMM SKINNER,5,MESTIZO,NO,,WANDA MURDOCK GOHAN SHAGGY,COTIZANTES SSUV,,,54.1,1972
CC,D867888B,CC,D867888B,KOOPA,MAXIMOFF,DAFNE,,F,76,001,76,001,DIAG 14 # 44-27,3164970169342929132033016,3234190310,20/09/1948,01/08/1986,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,dafne.koopad867@example.com,77,MOANA LISA MCPATO BOMBON,5,NINGUNA DE LAS ANTERIORES,NO,,KOOPA MAXIMOFF DAFNE,COTIZANTES SSUV,,,39.9,1986
CC,30E912F2,CC,30E912F2,TRUENO,WIGGUM,DEXTER,SOLIN,M,76,001,76,001,CRA 96 # 59-68,372215566847323653,3377460406720,04/10/1955,02/11/1981,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,dexter.trueno30e9@example.com,70,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,TRUENO WIGGUM DEXTER SOLIN,COTIZANTES SSUV,,,44.6,1981
CC,BA108217,CC,BA108217,STORM,PICAPIEDRA,LISA,,F,76,001,76,001,CLL 83 # 63-50,34361424426078197543734,3764273720,15/05/1951,01/09/1986,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,lisa.stormba10@example.com,75,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,STORM PICAPIEDRA LISA,COTIZANTES SSUV,,,39.8,1986
CC,8A2E6A93,CC,8A2E6A93,ODINSON,CALAMARDO,NALA,,F,76,001,76,001,CRA 20 # 3-42,338821458414846019134,3438998278,19/01/1930,01/08/1986,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,nala.odinson8a2e@example.com,96,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,ODINSON CALAMARDO NALA,COTIZANTES SSUV,,,39.9,1986
CC,53A5E850,CC,53A5E850,STRANGE,JACK,MICKEY,BUZZ,M,76,001,76,001,TRANS 46 # 13-49,3869507321,3464493699,08/04/1975,01/05/2013,02/05/2013,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,mickey.strange53a5@example.com,51,POPIS MAFALDA GRIMM SKINNER,5,NINGUNA DE LAS ANTERIORES,NO,,STRANGE JACK MICKEY BUZZ,COTIZANTES SSUV,,,13.2,2013
CC,43EF2016,CC,43EF2016,TIMMY,PICAPIEDRA,HERCULES,GOHAN,M,76,001,76,364,CRA 73 # 18-30,3793350557,3385736801,01/12/1963,16/08/2001,06/10/2008,TRABAJADOR OFICIAL CON PREST DE LEY,AC,A01,C,,,26/06/2026,hercules.timmy43ef@example.com,62,SUSANITA MILK VORTEX PYM,5,"NEGRO, MULATO, AFROCOLOMBIANO O AFRODESCENDIENTE",NO,,TIMMY PICAPIEDRA HERCULES GOHAN,COTIZANTES SSUV,,,24.9,2001
